Code,RQ,Participant,Strand,Data_Type,Source_Tag,Dimension,Data_Point,Paired_With,Classification,Notes
QLL1,RQ1a,Lisa,QUAL,IPA Theme,GET 3.1/4.1,Pharmacological-historical,Generational framing of own use as modest experimentation; 'smoked a bit of old-fashioned grass...probably dropped acid a couple of times',,,
QLL2,RQ1a,Lisa,QUAL,IPA Theme,GET 4.2,Moral/linguistic threshold,"Consistent terminology 'substance misusers' rather than 'addicts,' implying threshold-based construal where use itself is unremarkable",,,
QLL3,RQ1a,Lisa,QUAL,IPA Theme,GET 4.2,Humanizing/normalization,"'People around the world really have the same...kinds of emotions. They get depressed, they get anxious, they take drugs, they don't take drugs'",,,
QRR1,RQ1a,Ramona,QUAL,IPA Theme,GET 4.1,Legal/contextual,Real-time revision of legal-illegal construct for alcohol; 'it depends on...your age...legally obtained if you're of age...illegally obtained if you're underage. So maybe put that as a 3',,,
QRR2,RQ1a,Ramona,QUAL,IPA Theme,GET 4.1,Pharmacological,Pharmacological nuance on alcohol; 'it changes. [I] Think it starts out stimulating and ends up as a depressant',,,
QRR3,RQ1a,Ramona,QUAL,IPA Theme,GET 4.2,Threshold/pathology,Threshold qualifier that consequences emerge only 'with overuse',,,
QRR4,RQ1a,Ramona,QUAL,IPA Theme,GET 4.1,Evolving-evidence,Awareness of hallucinogen research for depression and PTSD,,,
QSS1,RQ1a,Seth,QUAL,IPA Theme,GET 4.3,Social-context,Alcohol described as 'one of the most social' substances yet linked to isolation as use progresses; touches RQ1b where construct organizes users,,,
QSS2,RQ1a,Seth,QUAL,IPA Theme,GET 4.3,Class/function,Class-based functional framing; productive use linked with lower SES while recreational use construed as socially inclusive,,,
QSS3,RQ1a,Seth,QUAL,IPA Theme,GET 4.4,Cultural,Identification of psychedelic use within Native cultures,,,
QROR1,RQ1a,Rose,QUAL,IPA Theme,GET 4.1,Pharmacological,"Pharmacological-perceptual distinction; 'MDMA and mushroom...they're more mind-altering, people are tripping' contrasted with 'Alcohol...mood-altering actually'",,,
QROR2,RQ1a,Rose,QUAL,IPA Theme,GET 4.2,Pathology-threshold,"Preference for 'overusing' over 'overdose,' reflecting threshold-based reasoning",,,
QROR3,RQ1a,Rose,QUAL,IPA Theme,GET 4.3,Structural/economic,Spontaneous identification of economic accessibility as an organizing dimension of substances,,,
QROR4,RQ1a,Rose,QUAL,IPA Theme,GET 4.1,Evolving-evidence,Recognition that cannabis and psychedelics are moving into legitimate therapeutic realms,,,
